"Techstack","Links"
"React, React Native, Javascript","https://react.dev/learn"
"Node.js, Express.js, TypeScript","https://nodejs.org/docs/latest/api/"
"Python, Django, FastAPI","https://docs.djangoproject.com/"
"Angular, TypeScript, RxJS","https://angular.io/docs"
"Vue.js, Nuxt.js, Vite","https://vuejs.org/guide/introduction.html"
"Java, Spring Boot, Hibernate","https://spring.io/projects/spring-boot"
"Go, Gin, GORM","https://go.dev/doc/"
"Ruby on Rails, Ruby","https://guides.rubyonrails.org/"
"Kotlin, Android, Android Studio","https://developer.android.com/docs"
"iOS, Swift, SwiftUI","https://developer.apple.com/documentation/swiftui/"
"Machine Learning, TensorFlow, Keras","https://www.tensorflow.org/learn"
"Data Science, Pandas, NumPy, Scikit-learn","https://pandas.pydata.org/docs/"
"DevOps, Docker, Kubernetes, Jenkins","https://kubernetes.io/docs/home/"
"Cloud, AWS, Lambda, S3","https://docs.aws.amazon.com/"
"Database, PostgreSQL, MySQL, MongoDB","https://www.postgresql.org/docs/"
"Frontend, Next.js, Tailwind CSS","https://nextjs.org/docs"
"Cross-platform, Flutter, Dart","https://docs.flutter.dev/"
"C#, .NET Core, Entity Framework","https://learn.microsoft.com/en-us/dotnet/core/"
"PHP, Laravel, MySQL","https://laravel.com/docs"